epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,5317.64,0.93196,1.13751,1.26137,0.53417,0.47777,0.49161,0.36541,0.99798,1.2501,1.33085,0.001981,0.001981,0.001981
83,5380.2,0.92899,1.13849,1.26158,0.53262,0.48657,0.49135,0.36603,0.99781,1.24796,1.33042,0.001882,0.001882,0.001882
84,5442.65,0.92492,1.11761,1.2589,0.53762,0.48745,0.49516,0.36899,0.99642,1.24479,1.32965,0.001783,0.001783,0.001783
85,5505.23,0.92405,1.11223,1.2538,0.55543,0.48515,0.4977,0.3708,0.99604,1.24675,1.33039,0.001684,0.001684,0.001684
86,5567.74,0.9223,1.10287,1.25432,0.56213,0.48037,0.49864,0.37188,0.99779,1.2476,1.33113,0.001585,0.001585,0.001585
87,5630.2,0.91834,1.10302,1.25,0.56663,0.47439,0.49835,0.37179,0.99687,1.24831,1.33044,0.001486,0.001486,0.001486
88,5692.74,0.907,1.08341,1.24501,0.56987,0.47644,0.49928,0.3723,0.99705,1.24814,1.3306,0.001387,0.001387,0.001387
89,5755.36,0.91184,1.07625,1.24222,0.56741,0.47397,0.49902,0.37206,0.99887,1.25086,1.33243,0.001288,0.001288,0.001288
90,5817.77,0.90661,1.07315,1.24193,0.57818,0.46582,0.49878,0.37132,1.00049,1.25015,1.33244,0.001189,0.001189,0.001189
91,5881.53,0.85774,0.89256,1.21297,0.57249,0.46281,0.49755,0.36992,1.00085,1.25174,1.3333,0.00109,0.00109,0.00109
92,5943.6,0.83834,0.84442,1.19233,0.55987,0.46509,0.49637,0.36823,1.00221,1.25466,1.33517,0.000991,0.000991,0.000991
93,6005.31,0.8349,0.83151,1.19356,0.55562,0.46746,0.49653,0.36793,1.00381,1.25553,1.33699,0.000892,0.000892,0.000892
94,6067.14,0.82733,0.82064,1.18501,0.57355,0.45763,0.49667,0.36772,1.00635,1.25777,1.34051,0.000793,0.000793,0.000793
95,6128.95,0.81858,0.80448,1.18215,0.56682,0.46177,0.49576,0.36761,1.00671,1.26001,1.34231,0.000694,0.000694,0.000694
96,6190.9,0.81312,0.79419,1.17756,0.57574,0.45861,0.49583,0.36766,1.00761,1.26428,1.34392,0.000595,0.000595,0.000595
97,6252.73,0.80436,0.77915,1.16879,0.55848,0.46723,0.4958,0.36729,1.0091,1.26523,1.34611,0.000496,0.000496,0.000496
98,6314.51,0.80491,0.77044,1.16871,0.55596,0.4705,0.49532,0.36686,1.01081,1.26698,1.3483,0.000397,0.000397,0.000397
99,6376.33,0.80119,0.76777,1.16936,0.56122,0.46453,0.49513,0.36674,1.01243,1.26976,1.35022,0.000298,0.000298,0.000298
100,6438.14,0.79579,0.76026,1.16415,0.5699,0.46081,0.49433,0.36596,1.01465,1.27337,1.3523,0.000199,0.000199,0.000199
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Najbolji:,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,
